Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,104.000,9.634,0.739,1.051,1.651,18.992,21.539,26.299,28.329,37.049,0.104
1,109.000,9.240,0.671,0.949,11.662,18.702,20.172,20.527,29.608,29.683,0.108
2,104.000,9.673,0.679,0.927,11.720,18.327,20.376,21.361,21.447,29.689,0.103
3,120.000,8.231,0.529,0.836,1.189,16.511,20.426,21.350,27.485,27.800,0.121
4,113.000,8.929,0.505,0.902,11.724,13.088,19.394,20.448,24.722,25.981,0.112
5,114.000,8.626,0.449,0.815,1.429,17.215,20.869,27.596,29.542,29.817,0.116
6,90.000,11.239,0.603,0.872,11.689,19.136,21.313,29.835,57.032,57.032,0.089
7,93.000,10.791,0.556,0.863,11.700,19.154,22.401,28.805,37.982,37.982,0.093
8,112.000,8.800,0.464,0.838,0.926,18.356,21.331,27.650,28.828,29.673,0.114
9,102.000,9.896,0.470,0.807,1.029,19.225,21.365,27.628,33.024,36.238,0.101
10,103.000,9.631,0.599,0.845,11.703,18.807,20.233,20.587,21.510,46.308,0.104
11,107.000,9.404,0.624,1.045,11.658,18.896,20.719,25.820,28.893,30.204,0.106
12,106.000,9.381,0.708,1.110,11.719,16.419,20.059,20.319,28.694,29.771,0.107
13,111.000,8.973,0.615,0.876,1.054,17.857,20.110,21.322,38.431,63.390,0.111
14,100.000,10.075,0.803,1.049,1.166,18.252,27.371,29.125,44.763,44.763,0.099
15,107.000,9.206,0.899,1.067,1.176,17.652,20.284,26.213,44.053,52.687,0.109
16,114.000,8.816,0.886,1.107,1.248,17.762,20.167,27.122,34.269,36.295,0.113
17,97.000,10.326,0.872,1.112,11.716,18.882,20.251,21.352,37.366,37.366,0.097
18,108.000,9.227,0.840,1.061,11.585,18.903,20.241,21.373,28.163,29.855,0.108
19,107.000,9.334,0.849,1.089,1.138,17.878,20.087,20.394,51.877,66.465,0.107
20,127.000,7.843,0.791,1.040,1.152,14.788,18.976,20.457,21.378,27.422,0.127
21,114.000,8.840,0.824,1.048,11.576,16.938,20.067,21.382,26.811,37.828,0.113
22,93.000,10.647,0.870,1.100,11.683,19.110,21.516,27.866,36.654,36.654,0.094
23,91.000,10.953,0.711,1.025,11.674,18.893,21.382,28.558,66.717,66.717,0.091
24,102.000,9.889,0.719,0.955,11.128,18.538,21.339,28.631,36.340,36.833,0.101
25,112.000,8.941,0.651,0.935,11.066,17.159,20.166,27.904,28.677,38.143,0.112
26,96.000,10.436,0.407,0.895,11.708,19.286,20.531,26.732,67.322,67.322,0.096
27,113.000,8.876,0.629,0.856,0.968,18.510,19.928,20.506,29.346,32.173,0.113
28,103.000,9.550,0.584,0.944,11.712,18.187,20.201,21.231,32.285,36.839,0.105
29,114.000,8.881,0.760,1.039,1.160,16.704,20.218,23.966,34.109,121.721,0.113
30,103.000,10.538,0.472,0.937,11.626,18.301,21.360,27.530,45.441,108.256,0.095
31,108.000,8.347,0.505,0.918,1.045,16.341,20.175,27.861,29.832,41.535,0.120
32,110.000,9.040,0.724,0.916,3.923,17.400,20.599,26.569,27.975,28.701,0.111
33,86.000,11.810,0.644,0.967,11.740,19.290,23.733,27.979,57.747,57.747,0.085
34,112.000,8.828,0.468,0.916,0.978,16.950,20.581,28.724,36.314,37.129,0.113
35,100.000,9.940,0.677,0.962,11.729,19.020,20.410,21.426,37.104,37.104,0.101
36,103.000,9.750,0.452,0.834,11.725,19.130,20.559,21.372,26.586,27.509,0.103
37,128.000,7.824,0.425,0.614,0.776,15.764,19.736,21.368,27.758,28.342,0.128
38,124.000,8.005,0.461,0.606,0.781,13.049,19.668,20.593,29.681,36.476,0.125
39,125.000,7.996,0.413,0.498,0.900,12.983,20.266,21.471,31.957,37.148,0.125
40,98.000,10.465,0.655,0.914,11.150,19.037,21.334,28.729,70.196,70.196,0.096
41,112.000,8.769,0.397,0.844,0.955,19.053,20.504,23.723,27.432,37.849,0.114
42,99.000,10.041,0.650,0.941,11.208,18.165,21.362,28.100,52.901,52.901,0.100
43,107.000,9.350,0.447,0.869,1.020,17.352,20.363,21.982,39.349,88.861,0.107
44,121.000,8.245,0.651,0.939,0.979,13.057,19.243,19.829,24.746,36.052,0.121
45,117.000,8.572,0.419,0.868,11.689,13.045,19.231,20.676,27.763,28.939,0.117
46,99.000,10.156,0.676,0.921,11.694,18.209,20.304,28.758,54.623,54.623,0.098
47,109.000,9.191,0.624,0.851,0.992,18.105,20.939,27.672,30.073,35.254,0.109
48,99.000,9.948,0.610,0.860,11.690,18.977,20.497,21.369,35.108,35.108,0.101
49,101.000,10.018,0.389,0.733,11.521,19.065,21.337,27.710,28.917,39.168,0.100
50,104.000,9.476,0.432,0.768,1.055,19.114,21.330,27.901,30.014,35.851,0.106
51,111.000,9.017,0.674,0.930,4.248,17.405,20.154,21.710,30.307,35.871,0.111
52,130.000,7.767,0.529,0.800,0.956,13.056,19.366,20.440,27.091,28.797,0.129
53,110.000,9.047,0.625,0.872,0.954,17.913,20.392,24.894,50.223,61.416,0.111
54,106.000,9.390,0.608,0.826,0.955,17.949,20.395,27.587,29.703,78.740,0.106
55,100.000,10.011,0.626,0.806,11.097,19.299,25.006,28.706,39.485,39.485,0.100
56,108.000,9.239,0.634,0.802,0.945,17.968,27.132,29.010,36.375,52.771,0.108
57,103.000,9.678,0.620,0.798,11.080,18.498,21.394,27.583,29.644,43.627,0.103
58,102.000,9.825,0.678,0.862,11.664,18.173,20.760,28.851,36.380,37.077,0.102
59,122.000,8.139,0.628,0.721,0.947,17.125,20.332,24.693,37.333,38.493,0.123
